N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
1,4,3
2,8,7
3,18,11
4,25,19
5,26,30
6,42,38
7,49,45
8,61,49
9,67,45
10,73,68
11,97,81
12,100,94
13,96,77
14,108,109
15,123,86
16,146,125
17,145,121
18,170,160
19,174,150
20,197,188
21,210,149
22,215,182
23,237,195
24,267,204
25,255,185
26,247,223
27,298,212
28,275,225
29,303,269
30,297,231
31,344,223
32,340,263
33,358,261
34,349,253
35,394,277
36,404,309
37,434,275
38,406,325
39,434,320
40,455,338
41,434,334
42,451,316
43,465,365
44,489,358
45,507,359
46,560,427
47,557,332
48,541,371
49,545,410
50,596,396
51,629,399
52,642,430
53,633,404
54,669,445
55,642,467
56,662,473
57,660,483
58,730,513
59,713,463
60,706,437
61,703,490
62,750,525
63,807,514
64,795,528
65,815,535
66,803,521
67,786,577
68,845,574
69,926,611
70,894,565
71,884,662
72,908,606
73,835,562
74,919,557
75,927,568
76,971,666
77,1027,609
78,988,603
79,967,679
80,1044,713
81,1013,678
82,1035,651
83,1088,718
84,1059,751
85,1105,719
86,1142,748
87,1110,779
88,1153,720
89,1165,763
90,1183,689
91,1195,780
92,1218,720
93,1261,776
94,1183,753
95,1305,842
96,1283,837
97,1335,809
98,1305,853
99,1270,781
100,1327,879
101,1326,861
102,1333,899
103,1375,858
104,1368,894
105,1471,913
106,1439,925
107,1502,902
108,1394,913
109,1469,915
110,1496,809
111,1533,925
112,1486,925
113,1507,884
114,1552,1068
115,1614,1047
116,1595,963
117,1618,1032
118,1556,1046
119,1751,1062
120,1577,935
121,1620,1092
122,1766,1102
123,1711,1079
124,1741,976
125,1690,1009
126,1733,1107
127,1752,1039
128,1758,1074
129,1811,1184
130,1842,1035
131,1835,1185
132,1777,1191
133,1839,1146
134,1919,1137
135,1895,1170
136,1976,1182
137,1927,1216
138,1982,1214
139,1957,1098
140,1935,1193
141,1947,1142
142,2030,1267
143,2033,1250
144,1959,1413
145,2049,1218
146,2060,1262
147,2068,1287
148,2129,1362
149,2134,1309
150,2154,1293
151,2247,1291
152,2168,1323
153,2260,1224
154,2179,1331
155,2182,1332
156,2153,1397
157,2186,1327
158,2244,1305
159,2244,1300
160,2254,1396
161,2324,1370
162,2367,1313
163,2347,1427
164,2212,1351
165,2424,1379
166,2427,1452
167,2418,1497
168,2424,1395
169,2464,1478
170,2491,1405
171,2407,1440
172,2433,1417
173,2419,1460
174,2575,1466
175,2580,1557
176,2653,1489
177,2561,1508
178,2638,1461
179,2616,1503
180,2718,1571
181,2577,1511
182,2730,1603
183,2719,1564
184,2687,1643
185,2773,1641
186,2809,1622
187,2758,1615
188,2778,1702
189,2757,1578
190,2813,1534
191,2838,1677
192,2815,1623
193,2837,1758
194,2894,1565
195,2935,1846
196,2834,1672
