N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
205,1883,3251,4948,4828,6052
206,1933,3408,4997,4860,6029
207,2190,3389,4997,4878,6072
208,1958,3318,5046,4879,6151
209,2005,3416,5092,4940,6068
210,2240,3422,5059,4955,6234
211,2132,3437,5096,5007,6140
212,1927,3483,5128,5072,6275
213,2200,3440,5166,5043,6267
214,2488,3526,5163,5077,6283
215,2069,3608,5213,5057,6358
216,1983,3545,5246,5145,6356
217,2077,3605,5223,5150,6373
218,2008,3521,5293,5168,6438
219,2250,3445,5311,5218,6448
220,2201,3748,5353,5224,6482
221,2354,3748,5377,5240,6526
222,2097,3664,5392,5277,6500
223,2294,3729,5398,5303,6565
224,2088,3716,5456,5319,6573
225,2223,3635,5466,5319,6696
226,2280,3833,5496,5380,6606
227,2204,3810,5500,5374,6660
228,2321,3746,5524,5442,6755
229,2346,3793,5559,5403,6716
230,2370,3842,5585,5488,6818
231,2507,3888,5619,5498,6790
232,2258,3863,5620,5489,6818
233,2454,3990,5666,5591,6964
234,2327,3786,5685,5568,6943
235,2435,3938,5725,5615,6949
236,2535,4022,5754,5622,6964
237,2351,3922,5773,5637,7032
238,2358,4035,5802,5690,7027
239,2335,3981,5814,5671,7070
240,2440,4170,5838,5756,7113
241,2458,4017,5862,5757,7120
242,2328,3997,5897,5736,7164
243,2458,3961,5916,5769,7125
244,2665,4146,5982,5835,7255
245,2473,4020,5982,5822,7342
246,2618,4197,6027,5860,7318
247,2350,4066,6038,5905,7241
248,2683,4301,6048,5943,7310
249,2637,4242,6093,5961,7373
250,2776,4357,6101,6009,7435
251,2569,4195,6138,6013,7526
252,2611,4133,6164,6017,7454
253,2668,4300,6180,6074,7647
254,2436,4193,6223,6104,7573
255,2304,4260,6231,6097,7544
256,2705,4321,6252,6137,7652
257,2914,4356,6277,6186,7567
258,2685,4446,6322,6172,7640
259,2598,4416,6335,6210,7774
260,2588,4272,6394,6237,7740
261,2621,4313,6404,6220,7821
262,2804,4506,6419,6286,7764
263,2623,4479,6434,6324,7820
264,2914,4522,6474,6357,7841
265,2695,4486,6483,6374,7956
266,2724,4475,6531,6432,7990
267,3142,4592,6546,6419,7967
268,3681,4616,6613,6448,8016
269,2891,4701,6582,6489,8034
270,2785,4690,6656,6552,8084
271,2763,4748,6644,6499,8140
272,2641,4765,6669,6573,8147
273,2738,4736,6696,6575,8079
274,3059,4699,6723,6594,8271
275,2787,4749,6729,6629,8191
276,3232,4916,6798,6646,8286
277,3062,4715,6807,6654,8331
278,2965,4838,6836,6700,8359
279,2765,4802,6864,6767,8434
280,2934,4637,6863,6731,8408
281,2985,4887,6919,6780,8437
282,3213,4874,6923,6816,8499
283,2875,4749,6965,6874,8524
284,2884,5071,6997,6863,8455
285,3235,4853,7039,6857,8507
286,3119,4804,7064,6815,8553
287,2814,4849,7047,6904,8524
288,2896,4895,7092,6927,8627
289,2786,5064,7149,7008,8623
290,2849,4996,7147,7013,8728
291,3121,5042,7158,7039,8672
292,3430,5029,7205,7098,8699
293,3423,5049,7208,7049,8842
294,3151,5062,7260,7097,8807
295,3091,5081,7289,7160,8868
296,2911,5092,7308,7165,8846
297,3070,5260,7327,7187,9001
298,2932,5141,7353,7281,8989
299,2963,5122,7377,7204,9011
300,3057,5192,7433,7235,9054
301,3438,5251,7440,7304,8994
302,3064,5377,7489,7389,9062
303,3356,5435,7509,7360,9081
304,3008,5254,7532,7398,9240
305,2987,5373,7554,7376,9260
306,3298,5382,7575,7438,9199
307,3037,5389,7595,7431,9246
308,3275,5536,7630,7445,9337
309,3782,5308,7662,7477,9270
310,3287,5465,7676,7524,9345
311,3659,5483,7692,7553,9419
312,3189,5403,7759,7641,9420
313,3377,5562,7758,7636,9478
314,3246,5529,7764,7632,9498
315,3293,5552,7791,7691,9402
316,3504,5493,7846,7657,9511
317,3145,5589,7852,7736,9646
318,3447,5625,7886,7745,9617
319,3569,5546,7955,7750,9589
320,3414,5642,7956,7759,9627
321,3568,5643,7960,7805,9637
322,3332,5718,7985,7811,9725
323,3313,5575,8003,7827,9701
324,3270,5656,8044,7895,9811
325,3212,5657,8067,7930,9767
326,3714,5707,8081,7965,9805
327,3664,5794,8138,8007,9930
328,3385,5886,8188,7964,9864
329,3923,5739,8192,8011,9858
330,3338,5902,8210,8035,9977
331,3769,5844,8207,8098,10021
332,3602,5815,8236,8043,10048
333,3433,5940,8277,8139,10059
334,3386,5829,8287,8158,10056
335,3357,6065,8305,8217,10163
336,3727,5982,8385,8177,10164
337,3345,6122,8421,8190,10119
338,3457,6005,8425,8309,10278
339,3761,6032,8450,8205,10236
340,4026,6020,8459,8314,10283
341,3597,6094,8507,8372,10245
342,3723,5947,8522,8342,10284
343,3410,5937,8526,8419,10428
344,3748,6176,8607,8470,10431
345,3528,6141,8619,8463,10467
346,3639,6178,8662,8471,10484
347,3787,6081,8672,8535,10488
348,3779,6334,8678,8525,10530
349,3814,6310,8712,8525,10578
350,3965,6255,8725,8570,10675
351,3890,6242,8745,8564,10625
352,3817,6364,8804,8622,10666
353,3860,6186,8791,8684,10735
354,3753,6593,8869,8712,10764
355,3634,6321,8869,8697,10693
356,3937,6454,8885,8767,10766
357,4031,6424,8883,8790,10821
358,3974,6438,8958,8781,10852
359,3894,6419,8964,8769,10910
360,3995,6503,8967,8875,11010
361,3884,6421,9054,8818,10999
362,3993,6394,9053,8888,10980
363,4707,6572,9066,8982,10918
364,4060,6640,9101,8959,11007
365,3939,6699,9147,9016,11064
366,3977,6605,9179,9007,11104
367,4249,6594,9178,9008,11105
368,4172,6601,9196,9043,11159
369,4005,6708,9233,8984,11184
370,4392,6580,9298,9078,11175
371,3953,6718,9312,9085,11203
372,3990,6641,9305,9136,11292
373,4141,6729,9368,9145,11357
374,4729,6606,9377,9147,11377
375,4135,6774,9443,9191,11412
376,4180,6814,9416,9240,11452
377,3999,6700,9433,9225,11451
378,3981,6878,9483,9324,11368
379,4110,6806,9483,9315,11533
380,4784,6994,9560,9407,11551
381,4431,6801,9599,9364,11473
382,4292,6952,9583,9436,11573
383,4196,7026,9601,9456,11706
384,4468,7061,9599,9496,11722
385,4351,7030,9671,9453,11731
386,4075,6988,9680,9536,11773
387,4410,7113,9713,9553,11734
388,4369,7200,9764,9548,11758
389,4468,6948,9836,9585,11818
390,4015,7260,9779,9630,11860
391,3967,7060,9794,9671,11940
392,4431,7171,9882,9668,12010
393,4322,7251,9873,9693,11962
394,4606,7178,9892,9709,12019
395,4508,7313,9952,9700,12011
396,4796,7477,9959,9705,12027
397,4648,7301,10010,9715,12134
398,4737,7277,10002,9758,12106
399,4368,7331,10030,9820,12128
400,4150,7305,10075,9860,12140
401,4307,7230,10067,9944,12200
402,4745,7515,10136,9860,12263
403,4538,7483,10143,9973,12366
404,4311,7397,10178,9940,12274
405,4333,7382,10198,10014,12354
406,4855,7518,10252,10017,12442
407,4552,7583,10255,10073,12424
408,4584,7503,10317,10095,12365
409,5020,7780,10310,10082,12459
410,5085,7389,10357,10156,12499
411,4385,7531,10341,10168,12560
412,4278,7328,10419,10139,12609
413,4403,7494,10440,10216,12559
414,4467,7760,10441,10238,12558
415,4808,7563,10466,10281,12573
416,4722,7629,10473,10235,12601
417,4787,7630,10544,10277,12761
418,4750,7687,10540,10301,12659
419,4529,7762,10601,10361,12816
420,4433,7639,10586,10381,12777
421,5253,7747,10642,10404,12865
422,4407,7919,10673,10412,12823
